slug,question,tags,end_date,n_trades,win_rate,total_pnl,sharpe,avg_spread,exit_reasons,error,skipped
cs2-g2-fut-2026-03-10,Counter-Strike: G2 vs FUT Esports (BO3) - ESL Pro League Stage 2,,2026-03-10T21:45:00+00:00,0,0.0000,0.000000,0.0000,0.0428,{},,spread=0.043>0.030
dota2-tundra-og-2026-03-10-game-handicap-away-1pt5,Game Handicap: Tundra (-1.5) vs OG (+1.5),,2026-03-10T19:30:00+00:00,0,0.0000,0.000000,0.0000,0.2997,{},,spread=0.300>0.030
dota2-tundra-og-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T19:30:00+00:00,0,0.0000,0.000000,0.0000,0.2332,{},,spread=0.233>0.030
dota2-tundra-og-2026-03-10,Dota 2: Tundra Esports vs OG (BO3) - PGL Wallachia Group Stage,,2026-03-10T19:30:00+00:00,0,0.0000,0.000000,0.0000,0.0577,{},,spread=0.058>0.030
dota2-heroic-navi-2026-03-10-game2-ends-in-daytime,Game 2: Ends in Daytime?,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.7517,{},,spread=0.752>0.030
dota2-heroic-navi-2026-03-10-game1-ends-in-daytime,Game 1: Ends in Daytime?,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.8234,{},,spread=0.823>0.030
dota2-heroic-navi-2026-03-10-game-handicap-home-1pt5,Game Handicap: Na`Vi (-1.5) vs Heroic (+1.5),,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.2244,{},,spread=0.224>0.030
dota2-heroic-navi-2026-03-10-total-games-2pt5,Games Total: O/U 2.5,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.1988,{},,spread=0.199>0.030
dota2-heroic-navi-2026-03-10,Dota 2: Heroic vs Natus Vincere (BO3) - PGL Wallachia Group Stage,,2026-03-10T21:00:00+00:00,0,0.0000,0.000000,0.0000,0.0520,{},,spread=0.052>0.030
dota2-xtreme-aur1-2026-03-10-game3-ends-in-daytime,Game 3: Ends in Daytime?,,2026-03-10T17:55:00+00:00,0,0.0000,0.000000,0.0000,0.9132,{},,spread=0.913>0.030
dota2-xtreme-aur1-2026-03-10-game2-both-teams-beat-roshan,Game 2: Both Teams Beat Roshan?,,2026-03-10T17:55:00+00:00,0,0.0000,0.000000,0.0000,0.9140,{},,spread=0.914>0.030
dota2-xtreme-aur1-2026-03-10-game2-ends-in-daytime,Game 2: Ends in Daytime?,,2026-03-10T17:55:00+00:00,0,0.0000,0.000000,0.0000,0.9133,{},,spread=0.913>0.030
dota2-xtreme-aur1-2026-03-10-game1-both-teams-beat-roshan,Game 1: Both Teams Beat Roshan?,,2026-03-10T17:55:00+00:00,0,0.0000,0.000000,0.0000,0.9128,{},,spread=0.913>0.030
